@relation 'Transactional: iris'
@attribute vectorNrId string
@attribute attributeIndex numeric
@attribute attributeValue {5.1, 3.5, 1.4, 0.2, Iris-setosa, 4.9, 3.0, 4.7, 3.2, 1.3, 4.6, 3.1, 1.5, 5.0, 3.6, 5.4, 3.9, 1.7, 0.4, 3.4, 0.3, 4.4, 2.9, 0.1, 3.7, 4.8, 1.6, 4.3, 1.1, 5.8, 4.0, 1.2, 5.7, 3.8, 1.0, 3.3, 0.5, 1.9, 5.2, 4.1, 5.5, 4.2, 4.5, 2.3, 0.6, 5.3, 7.0, Iris-versicolor, 6.4, 6.9, 6.5, 2.8, 6.3, 2.4, 6.6, 2.7, 2.0, 5.9, 6.0, 2.2, 6.1, 5.6, 6.7, 6.2, 2.5, 1.8, 6.8, 2.6, Iris-virginica, 7.1, 2.1, 7.6, 7.3, 7.2, 7.7, 7.4, 7.9}

@data
38,1.0,3.0
38,2.0,1.3
38,3.0,0.2
38,4.0,Iris-setosa
39,0.0,5.1
39,1.0,3.4
39,2.0,1.5
39,3.0,0.2
39,4.0,Iris-setosa
40,0.0,5.0
40,1.0,3.5
40,2.0,1.3
40,3.0,0.3
40,4.0,Iris-setosa
41,0.0,4.5
41,1.0,2.3
41,2.0,1.3
41,3.0,0.3
41,4.0,Iris-setosa
42,0.0,4.4
42,1.0,3.2
42,2.0,1.3
42,3.0,0.2
42,4.0,Iris-setosa
43,0.0,5.0
43,1.0,3.5
43,2.0,1.6
43,3.0,0.6
43,4.0,Iris-setosa
44,0.0,5.1
44,1.0,3.8
44,2.0,1.9
44,3.0,0.4
44,4.0,Iris-setosa
45,0.0,4.8
45,1.0,3.0
45,2.0,1.4
45,3.0,0.3
45,4.0,Iris-setosa
46,0.0,5.1
46,1.0,3.8
46,2.0,1.6
46,3.0,0.2
46,4.0,Iris-setosa
47,0.0,4.6
47,1.0,3.2
47,2.0,1.4
47,3.0,0.2
47,4.0,Iris-setosa
48,0.0,5.3
48,1.0,3.7
48,2.0,1.5
48,3.0,0.2
48,4.0,Iris-setosa
49,0.0,5.0
49,1.0,3.3
49,2.0,1.4
49,3.0,0.2
49,4.0,Iris-setosa
50,0.0,7.0
50,1.0,3.2
50,2.0,4.7
50,3.0,1.4
50,4.0,Iris-versicolor
51,0.0,6.4
51,1.0,3.2
51,2.0,4.5
51,3.0,1.5
51,4.0,Iris-versicolor
52,0.0,6.9
52,1.0,3.1
52,2.0,4.9
52,3.0,1.5
52,4.0,Iris-versicolor
53,0.0,5.5
53,1.0,2.3
53,2.0,4.0
53,3.0,1.3
53,4.0,Iris-versicolor
54,0.0,6.5
54,1.0,2.8
54,2.0,4.6
54,3.0,1.5
54,4.0,Iris-versicolor
55,0.0,5.7
55,1.0,2.8
55,2.0,4.5
55,3.0,1.3
55,4.0,Iris-versicolor
56,0.0,6.3
56,1.0,3.3
56,2.0,4.7
56,3.0,1.6
56,4.0,Iris-versicolor
57,0.0,4.9
57,1.0,2.4
57,2.0,3.3
57,3.0,1.0
57,4.0,Iris-versicolor
58,0.0,6.6
58,1.0,2.9
58,2.0,4.6
58,3.0,1.3
58,4.0,Iris-versicolor
59,0.0,5.2
59,1.0,2.7
59,2.0,3.9
59,3.0,1.4
59,4.0,Iris-versicolor
60,0.0,5.0
60,1.0,2.0
60,2.0,3.5
60,3.0,1.0
60,4.0,Iris-versicolor
61,0.0,5.9
61,1.0,3.0
61,2.0,4.2
61,3.0,1.5
61,4.0,Iris-versicolor
62,0.0,6.0
62,1.0,2.2
62,2.0,4.0
62,3.0,1.0
62,4.0,Iris-versicolor
63,0.0,6.1
63,1.0,2.9
63,2.0,4.7
63,3.0,1.4
63,4.0,Iris-versicolor
64,0.0,5.6
64,1.0,2.9
64,2.0,3.6
64,3.0,1.3
64,4.0,Iris-versicolor
65,0.0,6.7
65,1.0,3.1
65,2.0,4.4
65,3.0,1.4
65,4.0,Iris-versicolor
66,0.0,5.6
66,1.0,3.0
66,2.0,4.5
66,3.0,1.5
66,4.0,Iris-versicolor
67,0.0,5.8
67,1.0,2.7
67,2.0,4.1
67,3.0,1.0
67,4.0,Iris-versicolor
68,0.0,6.2
68,1.0,2.2
68,2.0,4.5
68,3.0,1.5
68,4.0,Iris-versicolor
69,0.0,5.6
69,1.0,2.5
69,2.0,3.9
69,3.0,1.1
69,4.0,Iris-versicolor
70,0.0,5.9
70,1.0,3.2
70,2.0,4.8
70,3.0,1.8
70,4.0,Iris-versicolor
71,0.0,6.1
71,1.0,2.8
71,2.0,4.0
71,3.0,1.3
71,4.0,Iris-versicolor
72,0.0,6.3
72,1.0,2.5
72,2.0,4.9
72,3.0,1.5
72,4.0,Iris-versicolor
73,0.0,6.1
73,1.0,2.8
73,2.0,4.7
73,3.0,1.2
73,4.0,Iris-versicolor
74,0.0,6.4
74,1.0,2.9
74,2.0,4.3
74,3.0,1.3
74,4.0,Iris-versicolor
75,0.0,6.6
75,1.0,3.0
75,2.0,4.4
75,3.0,1.4
75,4.0,Iris-versicolor
76,0.0,6.8
76,1.0,2.8
76,2.0,4.8
76,3.0,1.4
76,4.0,Iris-versicolor
77,0.0,6.7
77,1.0,3.0
77,2.0,5.0
77,3.0,1.7
77,4.0,Iris-versicolor
78,0.0,6.0
78,1.0,2.9
78,2.0,4.5
78,3.0,1.5
78,4.0,Iris-versicolor
79,0.0,5.7
79,1.0,2.6
79,2.0,3.5
79,3.0,1.0
79,4.0,Iris-versicolor
80,0.0,5.5
80,1.0,2.4
80,2.0,3.8
80,3.0,1.1
80,4.0,Iris-versicolor
81,0.0,5.5
81,1.0,2.4
81,2.0,3.7
81,3.0,1.0
81,4.0,Iris-versicolor
82,0.0,5.8
82,1.0,2.7
82,2.0,3.9
82,3.0,1.2
82,4.0,Iris-versicolor
83,0.0,6.0
83,1.0,2.7
83,2.0,5.1
83,3.0,1.6
83,4.0,Iris-versicolor
84,0.0,5.4
84,1.0,3.0
84,2.0,4.5
84,3.0,1.5
84,4.0,Iris-versicolor
85,0.0,6.0
85,1.0,3.4
85,2.0,4.5
85,3.0,1.6
85,4.0,Iris-versicolor
86,0.0,6.7
86,1.0,3.1
86,2.0,4.7
86,3.0,1.5
86,4.0,Iris-versicolor
87,0.0,6.3
87,1.0,2.3
87,2.0,4.4
87,3.0,1.3
87,4.0,Iris-versicolor
88,0.0,5.6
88,1.0,3.0
88,2.0,4.1
88,3.0,1.3
88,4.0,Iris-versicolor
89,0.0,5.5
89,1.0,2.5
89,2.0,4.0
89,3.0,1.3
89,4.0,Iris-versicolor
90,0.0,5.5
90,1.0,2.6
90,2.0,4.4
90,3.0,1.2
90,4.0,Iris-versicolor
91,0.0,6.1
91,1.0,3.0
91,2.0,4.6
91,3.0,1.4
91,4.0,Iris-versicolor
92,0.0,5.8
92,1.0,2.6
92,2.0,4.0
92,3.0,1.2
92,4.0,Iris-versicolor
93,0.0,5.0
93,1.0,2.3
93,2.0,3.3
93,3.0,1.0
93,4.0,Iris-versicolor
94,0.0,5.6
94,1.0,2.7
94,2.0,4.2
94,3.0,1.3
94,4.0,Iris-versicolor
95,0.0,5.7
95,1.0,3.0
95,2.0,4.2
95,3.0,1.2
95,4.0,Iris-versicolor
96,0.0,5.7
96,1.0,2.9
96,2.0,4.2
96,3.0,1.3
96,4.0,Iris-versicolor
97,0.0,6.2
97,1.0,2.9
97,2.0,4.3
97,3.0,1.3
97,4.0,Iris-versicolor
98,0.0,5.1
98,1.0,2.5
98,2.0,3.0
98,3.0,1.1
98,4.0,Iris-versicolor
99,0.0,5.7
99,1.0,2.8
99,2.0,4.1
99,3.0,1.3
99,4.0,Iris-versicolor
100,0.0,6.3
100,1.0,3.3
100,2.0,6.0
100,3.0,2.5
100,4.0,Iris-virginica
101,0.0,5.8
101,1.0,2.7
101,2.0,5.1
101,3.0,1.9
101,4.0,Iris-virginica
102,0.0,7.1
102,1.0,3.0
102,2.0,5.9
102,3.0,2.1
102,4.0,Iris-virginica
103,0.0,6.3
103,1.0,2.9
103,2.0,5.6
103,3.0,1.8
103,4.0,Iris-virginica
104,0.0,6.5
104,1.0,3.0
104,2.0,5.8
104,3.0,2.2
104,4.0,Iris-virginica
105,0.0,7.6
105,1.0,3.0
105,2.0,6.6
105,3.0,2.1
105,4.0,Iris-virginica
106,0.0,4.9
106,1.0,2.5
106,2.0,4.5
106,3.0,1.7
106,4.0,Iris-virginica
107,0.0,7.3
107,1.0,2.9
107,2.0,6.3
107,3.0,1.8
107,4.0,Iris-virginica
108,0.0,6.7
108,1.0,2.5
108,2.0,5.8
108,3.0,1.8
108,4.0,Iris-virginica
109,0.0,7.2
109,1.0,3.6
109,2.0,6.1
109,3.0,2.5
109,4.0,Iris-virginica
110,0.0,6.5
110,1.0,3.2
110,2.0,5.1
110,3.0,2.0
110,4.0,Iris-virginica
111,0.0,6.4
111,1.0,2.7
111,2.0,5.3
111,3.0,1.9
111,4.0,Iris-virginica
112,0.0,6.8
112,1.0,3.0
112,2.0,5.5
112,3.0,2.1
112,4.0,Iris-virginica
113,0.0,5.7
113,1.0,2.5
113,2.0,5.0
113,3.0,2.0
113,4.0,Iris-virginica
114,0.0,5.8
114,1.0,2.8
114,2.0,5.1
114,3.0,2.4
114,4.0,Iris-virginica
115,0.0,6.4
115,1.0,3.2
115,2.0,5.3
115,3.0,2.3
115,4.0,Iris-virginica
116,0.0,6.5
116,1.0,3.0
116,2.0,5.5
116,3.0,1.8
116,4.0,Iris-virginica
117,0.0,7.7
117,1.0,3.8
117,2.0,6.7
117,3.0,2.2
117,4.0,Iris-virginica
118,0.0,7.7
118,1.0,2.6
118,2.0,6.9
118,3.0,2.3
118,4.0,Iris-virginica
119,0.0,6.0
119,1.0,2.2
119,2.0,5.0
119,3.0,1.5
119,4.0,Iris-virginica
120,0.0,6.9
120,1.0,3.2
120,2.0,5.7
120,3.0,2.3
120,4.0,Iris-virginica
121,0.0,5.6
121,1.0,2.8
121,2.0,4.9
121,3.0,2.0
121,4.0,Iris-virginica
122,0.0,7.7
122,1.0,2.8
122,2.0,6.7
122,3.0,2.0
122,4.0,Iris-virginica
123,0.0,6.3
123,1.0,2.7
123,2.0,4.9
123,3.0,1.8
123,4.0,Iris-virginica
124,0.0,6.7
124,1.0,3.3
124,2.0,5.7
124,3.0,2.1
124,4.0,Iris-virginica
125,0.0,7.2
125,1.0,3.2
125,2.0,6.0
125,3.0,1.8
125,4.0,Iris-virginica
126,0.0,6.2
126,1.0,2.8
126,2.0,4.8
126,3.0,1.8
126,4.0,Iris-virginica
127,0.0,6.1
127,1.0,3.0
127,2.0,4.9
127,3.0,1.8
127,4.0,Iris-virginica
128,0.0,6.4
128,1.0,2.8
128,2.0,5.6
128,3.0,2.1
128,4.0,Iris-virginica
129,0.0,7.2
129,1.0,3.0
129,2.0,5.8
129,3.0,1.6
129,4.0,Iris-virginica
130,0.0,7.4
130,1.0,2.8
130,2.0,6.1
130,3.0,1.9
130,4.0,Iris-virginica
131,0.0,7.9
131,1.0,3.8
131,2.0,6.4
131,3.0,2.0
131,4.0,Iris-virginica
132,0.0,6.4
132,1.0,2.8
132,2.0,5.6
132,3.0,2.2
132,4.0,Iris-virginica
133,0.0,6.3
133,1.0,2.8
133,2.0,5.1
133,3.0,1.5
133,4.0,Iris-virginica
134,0.0,6.1
134,1.0,2.6
134,2.0,5.6
134,3.0,1.4
134,4.0,Iris-virginica
135,0.0,7.7
135,1.0,3.0
135,2.0,6.1
135,3.0,2.3
135,4.0,Iris-virginica
136,0.0,6.3
136,1.0,3.4
136,2.0,5.6
136,3.0,2.4
136,4.0,Iris-virginica
137,0.0,6.4
137,1.0,3.1
137,2.0,5.5
137,3.0,1.8
137,4.0,Iris-virginica
138,0.0,6.0
138,1.0,3.0
138,2.0,4.8
138,3.0,1.8
138,4.0,Iris-virginica
139,0.0,6.9
139,1.0,3.1
139,2.0,5.4
139,3.0,2.1
139,4.0,Iris-virginica
140,0.0,6.7
140,1.0,3.1
140,2.0,5.6
140,3.0,2.4
140,4.0,Iris-virginica
141,0.0,6.9
141,1.0,3.1
141,2.0,5.1
141,3.0,2.3
141,4.0,Iris-virginica
142,0.0,5.8
142,1.0,2.7
142,2.0,5.1
142,3.0,1.9
142,4.0,Iris-virginica
143,0.0,6.8
143,1.0,3.2
143,2.0,5.9
143,3.0,2.3
143,4.0,Iris-virginica
144,0.0,6.7
144,1.0,3.3
144,2.0,5.7
144,3.0,2.5
144,4.0,Iris-virginica
145,0.0,6.7
145,1.0,3.0
145,2.0,5.2
145,3.0,2.3
145,4.0,Iris-virginica
146,0.0,6.3
146,1.0,2.5
146,2.0,5.0
146,3.0,1.9
146,4.0,Iris-virginica
147,0.0,6.5
147,1.0,3.0
147,2.0,5.2
147,3.0,2.0
147,4.0,Iris-virginica
148,0.0,6.2
148,1.0,3.4
148,2.0,5.4
148,3.0,2.3
148,4.0,Iris-virginica
149,0.0,5.9
149,1.0,3.0
149,2.0,5.1
149,3.0,1.8
149,4.0,Iris-virginica
